LGA,NetExpenditure,Adult,Expenditure
Whittlesea,97729563.60,188501,518.46
Nillumbik,7180438.58,50553,142.04
Ararat,4188923.57,9868,424.50
Northern Grampians,3627235.73,9140,396.85
Borough Of Queenscliffe,1353727.22,2589,522.88
Greater Geelong,104148198.03,217368,479.13
Corangamite,2396577.43,12465,192.26
Colac Otway,6671347.85,17207,387.71
Hepburn,2698681.08,13359,202.01
Moorabool,9441387.02,28782,328.03
Central Goldfields,6921801.62,10985,630.11
Mount Alexander,2291143.40,16616,137.89
Mansfield,1486887.41,7437,199.93
Murrindindi,1837925.37,12373,148.54
Mitchell,15099083.26,39140,385.77
Towong,255236.76,4992,51.13
Alpine,2381438.70,10465,227.56
Moira,4757365.64,24179,196.76
Strathbogie,1575659.77,9054,174.03
Benalla,5759311.14,11603,496.36
Gannawarra,1690859.43,8385,201.65
Campaspe,9299310.23,30002,309.96
Glenelg,6903658.86,15841,435.81
Southern Grampians,5808822.56,12697,457.50
Wellington,20999867.27,35517,591.26
Wodonga,9192349.56,34364,267.50
Warrnambool,18449318.05,28027,658.27
Greater Bendigo,45975301.01,95456,481.64
Ballarat,51177397.90,89402,572.44
Swan Hill,8307399.76,16109,515.70
Greater Shepparton,32827395.80,52362,626.93
Mildura,29180379.62,44294,658.79
East Gippsland,23643779.68,39311,601.45
Bass Coast,14665494.59,30906,474.52
Latrobe,39035645.81,60553,644.65
Surf Coast,3378700.17,27418,123.23
South Gippsland,6366275.31,23986,265.42
Macedon Ranges,7741945.74,40040,193.36
Horsham,8918822.77,15509,575.07
Baw Baw,15653601.50,43658,358.55
Wangaratta,8688279.89,23498,369.75
Melbourne,61112470.65,190806,320.29
Moreland,46210631.85,159491,289.74
Darebin,63516201.15,139796,454.35
Boroondara,13129434.81,149258,87.96
Whitehorse,39610147.31,148295,267.10
Manningham,44169839.07,106090,416.34
Banyule,39933306.92,104916,380.62
Maroondah,45922626.48,95504,480.85
Knox,56216977.91,132338,424.80
Monash,84931441.71,171022,496.61
Port Phillip,20898871.63,106100,196.97
Kingston,62540617.51,134846,463.79
Greater Dandenong,102478691.05,139108,736.68
Frankston,49706086.40,114502,434.11
Casey,114664060.26,284736,402.70
Cardinia,24313333.94,92419,263.08
Yarra Ranges,21873008.93,125755,173.93
Hume,104550447.16,189744,551.01
Brimbank,128396442.01,168275,763.02
Melton,61122751.26,135252,451.92
Hobsons Bay,34829848.63,78369,444.43
Wyndham,87520355.84,220299,397.28
Mornington Peninsula,67412975.05,138058,488.29
Yarra,23037269.58,93073,247.52
Maribyrnong,50134080.44,84688,591.99
Stonnington,15247317.24,105541,144.47
Glen Eira,51391551.21,125897,408.20
Bayside,10161035.99,86049,118.08
Moonee Valley,62465544.32,109575,570.07
Buloke,,4841, $-   
Golden Plains,,18642, $-   
Hindmarsh,,4439, $-   
Indigo,,13451, $-   
Loddon,,6116, $-   
Moyne,,13296, $-   
Pyrenees,,6104, $-   
West Wimmera,,2917, $-   
Yarriambiack,,5172, $-   
